name,ssn_solved,ssn_status,pmm_iter,ssn_iter,ssn_obj,pmm_tol_achieved,ssn_time,ssn_peak_ram_mb,qpalm_solved,qpalm_status,qpalm_iter,qpalm_obj,qpalm_tol_achieved,qpalm_time,qpalm_peak_ram_mb,osqp_solved,osqp_status,osqp_iter,osqp_obj,osqp_tol_achieved,osqp_time,osqp_peak_ram_mb
POWELL20,1,0,87,1341,44397690859.739624,8.967516239267397e-07,2.137064751237631,134.5,1,1,14571,52089333761.32368,0.00549095710630354,17.335035914555192,124.71875,,,,,,,
PRIMAL1,1,0,3,10,-0.03501294812008748,4.631082493999211e-07,0.002543957903981209,98.453125,1,1,20,-0.03501296589708461,3.6269811320988055e-08,0.003247292712330818,98.65625,,,,,,,
PRIMAL2,1,0,3,12,-0.03373369696939781,2.7626197309224e-07,0.004747333005070686,102.28125,1,1,24,-0.03373366688588175,3.581849705724949e-08,0.006545333191752434,98.671875,,,,,,,
PRIMAL3,1,0,3,24,-0.13575586130933942,1.47295892477875e-07,0.01614362560212612,98.46875,1,1,40,-0.13575583686436157,1.237023011801952e-09,0.018600793555378914,98.4375,,,,,,,
PRIMAL4,1,0,4,28,-0.7460908458441131,1.1180015491163431e-07,0.012701168656349182,98.46875,1,1,40,-0.7460908418956492,2.0528589939061703e-09,0.01795937493443489,98.5,,,,,,,
PRIMALC1,1,0,33,243,-6155.251251686712,6.271023830980091e-07,0.006252957507967949,102.046875,1,1,9,-6154.912184040492,0.003514453743364825,0.0005114581435918808,98.46875,,,,,,,
PRIMALC2,1,0,22,268,-3551.3105382353333,3.5992653909533e-07,0.006160499528050423,98.46875,1,1,9,-3550.8293719299945,0.004057311198098098,0.0004231669008731842,98.78125,,,,,,,
PRIMALC5,1,0,10,146,-427.23301963177414,7.771146561290914e-07,0.005848124623298645,98.46875,1,1,8,-427.17487998058493,0.00027961982302516304,0.0005321260541677475,98.671875,,,,,,,
PRIMALC8,1,0,44,101,-18309.430329368548,8.647218417002069e-07,0.009162500500679016,100.578125,1,1,10,-18307.533508730437,0.004301213834364234,0.0012156683951616287,98.46875,,,,,,,
Q25FV47,0,4,1438,25657,13744165.50770556,9.795721475538206e-06,219.63515437580645,117.453125,1,1,1025,13744444.700920153,0.0007616491640564021,1.9694625437259674,120.90625,,,,,,,
QADLITTL,1,0,21,264,480316.27431338315,3.517949647909156e-07,0.017946042120456696,98.671875,1,1,95,480318.54830195516,0.00022410237715271534,0.0021059568971395493,98.765625,,,,,,,
QAFIRO,1,0,10,114,-1.5910222950297217,6.769643791681965e-07,0.002255083993077278,98.75,1,1,30,-1.5908249185671253,8.953244250444964e-06,0.00027633272111415863,98.671875,,,,,,,
QBANDM,1,0,54,924,16352.342112006094,5.109018681933143e-07,0.25816587544977665,102.265625,1,1,272,16352.341088072659,0.0007075688001139217,0.03650025092065334,98.453125,,,,,,,
QBEACONF,1,0,853,16367,164712.91929439886,6.752738991383467e-07,0.8540345840156078,101.03125,1,1,75,164712.06003456528,6.701622215950658e-05,0.007669791579246521,100.890625,,,,,,,
QBORE3D,1,0,389,6958,3107.8047803947325,9.297156606966832e-07,0.6812432911247015,100.390625,1,1,113,3100.19301612506,0.0012892896988514512,0.009357251226902008,98.578125,,,,,,,
QBRANDY,1,0,17,238,28375.181975262378,6.869407568709343e-07,0.09449083171784878,100.53125,1,1,285,28374.63638460621,0.001945293746287535,0.024919332936406136,100.40625,,,,,,,
QCAPRI,0,4,188532,3477671,66601046.63152478,5.850530165779172e-06,696.9880201667547,105.078125,1,1,572,66774754.19874133,0.0058312895549922986,0.0761688333004713,104.21875,,,,,,,
QE226,1,0,22,296,212.65343805858777,8.611513392161086e-08,0.1579531654715538,104.1875,1,1,239,205.54001879393977,6.21412391099696e-06,0.025662625208497047,100.59375,,,,,,,
QETAMACR,0,4,561,10667,86226.60385496482,0.0009937415346436378,90.65409787558019,99.671875,1,1,226,86759.50707193787,0.0002164809951819509,0.14693466760218143,103.453125,,,,,,,
QFFFFF80,1,0,758,13650,873159.5719968695,9.795787219040276e-07,19.825026623904705,114.421875,1,1,266,873049.7026772605,0.04997601957329715,0.10555720888078213,102.140625,,,,,,,
QFORPLAN,0,-2,50,608,1e+20,1e+20,0.2089939173310995,104.046875,1,1,428,7456610121.557367,3.3741726541261685,0.05650070868432522,99.546875,,,,,,,
QGFRDXPN,1,0,1067,17279,100790584847.97299,9.966123316728015e-07,4.567333834245801,103.46875,1,1,288,100790586109.21646,0.08347844856781202,0.06437000073492527,101.71875,,,,,,,
QGROW15,1,0,259,962,-101691810.30841789,8.830653122306817e-07,0.7273071650415659,105.625,1,1,482,-101693645.05847943,0.01665695211354342,0.10111120902001858,101.78125,,,,,,,
QGROW22,1,0,239,1158,-149626328.99787128,7.9473166075592e-07,1.378909083083272,107.625,1,1,681,-149628984.6821781,0.03987106818057248,0.20956633426249027,102.734375,,,,,,,
QGROW7,1,0,320,650,-42797854.23927111,6.396615162427035e-07,0.16888462379574776,99.65625,1,1,108,-42798691.57210706,0.09183740023056722,0.010682623833417892,98.75,,,,,,,
QISRAEL,1,0,1150,22390,25347882.410094555,8.409164369993142e-07,2.5078393761068583,100.75,1,1,97,25347835.380718473,0.13644992155772281,0.005032500252127647,98.4375,,,,,,,
QPCBLEND,1,0,22,76,-0.007846940621172242,6.116858273477403e-07,0.004734417423605919,98.671875,1,1,49,-0.007844866628003965,2.3882798576012136e-07,0.0011348742991685867,98.484375,,,,,,,
QPCBOEI1,1,0,27,221,11503758.087231038,9.044703647544218e-07,0.03280116617679596,98.4375,1,1,102,11503910.679773314,0.003241252894387504,0.012640289962291718,98.46875,,,,,,,
QPCBOEI2,1,0,1448,5847,8171950.966351817,9.973416699644296e-07,0.1595036257058382,100.234375,0,-3,109,0.0,13.992618166321689,0.00466574914753437,99.3125,,,,,,,
QPCSTAIR,1,0,48,353,6204333.527153604,6.12319630041879e-07,0.13080841675400734,100.734375,1,1,181,6204387.476040235,0.000102544162646629,0.028066709637641907,100.109375,,,,,,,
QPILOTNO,0,4,1952,38353,4730403.442848108,3.697742310255759e-06,502.9358523748815,123.359375,1,1,774,4728586.6461463515,0.026988785253107155,0.9262537080794573,108.078125,,,,,,,
